id,funding_round_id,startup_id,funding_id,created_at,updated_at,startup_name,funding_first_name,funding_last_name,parent_id,category_code,status,country_code,state_code,city,region,funding_total_usd
72611,23917,c:56236,p:68602,6/30/11 16:50,9/5/11 17:17,larala.com,Esteban,Caselli,56236,music,operating,ARG,0,Buenos Aires,Buenos Aires,780000
70927,18192,c:56256,p:1235,9/9/10 23:11,5/27/13 15:23,Orbotix,David,Cohen,56256,hardware,operating,USA,CO,Boulder,Denver,15000001
69879,10359,c:5631,p:15816,12/17/09 2:19,12/17/09 2:19,Sonico,Ariel,Arrieta,5631,social,operating,ARG,0,Buenos Aires,Buenos Aires,6000000
69880,10359,c:5631,p:15940,12/17/09 2:19,12/17/09 2:19,Sonico,Damian,Voltes,5631,social,operating,ARG,0,Buenos Aires,Buenos Aires,6000000
68572,2478,c:5631,p:2262,6/3/08 17:11,6/3/08 17:11,Sonico,Martin,Varsavsky,5631,social,operating,ARG,0,Buenos Aires,Buenos Aires,6000000
68570,2478,c:5631,p:7039,6/3/08 17:11,6/3/08 17:11,Sonico,Fabrice,Grinda,5631,social,operating,ARG,0,Buenos Aires,Buenos Aires,6000000
68571,2478,c:5631,p:7040,6/3/08 17:11,6/3/08 17:11,Sonico,Alec,Oxenford,5631,social,operating,ARG,0,Buenos Aires,Buenos Aires,6000000
68527,2339,c:5632,p:11202,5/21/08 1:08,5/21/08 1:08,StarNet Interactive,Cathy,Glazer,5632,web,acquired,ISR,0,0,Israel - Other,2700000
78285,40164,c:56344,p:1651,6/18/13 12:16,6/19/13 3:28,Parakweet,Scott,Banister,56344,web,operating,USA,CA,Newark,SF Bay,2000000
78286,40164,c:56344,p:31,6/18/13 12:16,6/19/13 3:28,Parakweet,Alan,Braverman,56344,web,operating,USA,CA,Newark,SF Bay,2000000
78287,40164,c:56344,p:46499,6/18/13 12:16,6/19/13 3:28,Parakweet,David,Jeske,56344,web,operating,USA,CA,Newark,SF Bay,2000000
71305,20083,c:56613,p:49528,11/16/10 11:35,11/16/10 22:45,KBJ Capital,Kristopher,B. Jones,56613,0,operating,USA,PA,Wilkes Barre,wilkes barre,1000000
72741,24369,c:56629,p:102213,7/25/11 14:43,7/25/11 14:50,Quid,Charles,Lho,56629,software,operating,USA,CA,San Francisco,SF Bay,10000000
70944,18325,c:56640,p:89764,9/14/10 20:13,10/3/11 0:03,HUNT Mobile Ads,Other,Angel Investors,56640,advertising,operating,ARG,0,C.A.B.A. - Bs. As.,unknown,0
71747,21623,c:56641,p:2198,2/24/11 21:35,9/28/11 11:40,Fundly,Mark,Goines,56641,nonprofit,operating,USA,CA,Mountain View,SF Bay,7800000
71745,21623,c:56641,p:2239,2/24/11 21:35,9/28/11 11:40,Fundly,Jeff,Fluhr,56641,nonprofit,operating,USA,CA,Mountain View,SF Bay,7800000
71746,21623,c:56641,p:454,2/24/11 21:35,9/28/11 11:40,Fundly,James,Currier,56641,nonprofit,operating,USA,CA,Mountain View,SF Bay,7800000
72317,22992,c:56643,p:106,5/14/11 2:38,6/2/12 1:04,Getaround,Barney,Pell,56643,mobile,operating,USA,CA,San Francisco,SF Bay,19025000
73085,25283,c:56643,p:106,9/10/11 2:10,9/10/11 2:10,Getaround,Barney,Pell,56643,mobile,operating,USA,CA,San Francisco,SF Bay,19025000
73087,25283,c:56643,p:108727,9/10/11 2:10,9/10/11 2:10,Getaround,Bruno,Bowden,56643,mobile,operating,USA,CA,San Francisco,SF Bay,19025000
73086,25283,c:56643,p:2904,9/10/11 2:10,9/10/11 2:10,Getaround,Matt,Mullenweg,56643,mobile,operating,USA,CA,San Francisco,SF Bay,19025000
72318,22992,c:56643,p:33533,5/14/11 2:38,6/2/12 1:04,Getaround,Angus,Davis,56643,mobile,operating,USA,CA,San Francisco,SF Bay,19025000
72319,22992,c:56643,p:51386,5/14/11 2:38,6/2/12 1:04,Getaround,Fritz,Lanman,56643,mobile,operating,USA,CA,San Francisco,SF Bay,19025000
75543,31669,c:56643,p:6297,8/3/12 2:54,8/3/12 2:54,Getaround,Marissa,Mayer,56643,mobile,operating,USA,CA,San Francisco,SF Bay,19025000
73084,25283,c:56643,p:73628,9/10/11 2:10,9/10/11 2:10,Getaround,Marc,Randolph,56643,mobile,operating,USA,CA,San Francisco,SF Bay,19025000
68531,2368,c:5669,p:125,5/21/08 23:06,5/21/08 23:06,Knewton,Ron,Conway,5669,education,operating,USA,NY,New York,New York,54000000
68535,2368,c:5669,p:16171,5/21/08 23:06,5/21/08 23:06,Knewton,Chris,Dixon,5669,education,operating,USA,NY,New York,New York,54000000
68532,2368,c:5669,p:20525,5/21/08 23:06,5/21/08 23:06,Knewton,Shana,Fisher,5669,education,operating,USA,NY,New York,New York,54000000
68533,2368,c:5669,p:20785,5/21/08 23:06,5/21/08 23:06,Knewton,Jonathan,Glick,5669,education,operating,USA,NY,New York,New York,54000000
68536,2368,c:5669,p:20786,5/21/08 23:06,5/21/08 23:06,Knewton,Tom,Pinkney,5669,education,operating,USA,NY,New York,New York,54000000
68537,2368,c:5669,p:49330,5/21/08 23:06,5/21/08 23:06,Knewton,T. Trent,Gegax,5669,education,operating,USA,NY,New York,New York,54000000
69229,5533,c:5669,p:49330,4/7/09 15:15,4/7/09 15:15,Knewton,T. Trent,Gegax,5669,education,operating,USA,NY,New York,New York,54000000
70324,14388,c:5669,p:49330,4/19/10 20:43,10/13/11 13:18,Knewton,T. Trent,Gegax,5669,education,operating,USA,NY,New York,New York,54000000
68530,2368,c:5669,p:570,5/21/08 23:06,5/21/08 23:06,Knewton,Reid,Hoffman,5669,education,operating,USA,NY,New York,New York,54000000
69227,5533,c:5669,p:570,4/7/09 15:15,4/7/09 15:15,Knewton,Reid,Hoffman,5669,education,operating,USA,NY,New York,New York,54000000
70323,14388,c:5669,p:570,4/19/10 20:43,10/13/11 13:18,Knewton,Reid,Hoffman,5669,education,operating,USA,NY,New York,New York,54000000
68534,2368,c:5669,p:9848,5/21/08 23:06,5/21/08 23:06,Knewton,Peter,Stern,5669,education,operating,USA,NY,New York,New York,54000000
69228,5533,c:5669,p:9848,4/7/09 15:15,4/7/09 15:15,Knewton,Peter,Stern,5669,education,operating,USA,NY,New York,New York,54000000
68586,2506,c:567,p:245777,6/5/08 16:10,5/25/13 4:02,TubeMogul,Dave,Toth,567,advertising,operating,USA,CA,Emeryville,SF Bay,53157047
68587,2506,c:567,p:475,6/5/08 16:10,5/25/13 4:02,TubeMogul,Dick,Costolo,567,advertising,operating,USA,CA,Emeryville,SF Bay,53157047
68347,1814,c:567,p:7554,3/17/08 5:34,5/25/13 4:02,TubeMogul,Roger,Ehrenberg,567,advertising,operating,USA,CA,Emeryville,SF Bay,53157047
68588,2506,c:567,p:7554,6/5/08 16:10,5/25/13 4:02,TubeMogul,Roger,Ehrenberg,567,advertising,operating,USA,CA,Emeryville,SF Bay,53157047
70949,18354,c:56747,p:21825,9/15/10 20:03,8/1/12 3:31,Customer Alliance,Benjamin,Rohé,56747,software,operating,DEU,0,Berlin,Berlin,0
76130,33388,c:56748,p:96490,10/26/12 0:25,10/8/13 10:57,Independa,Kian,Saneii,56748,web,operating,USA,CA,San Diego,San Diego,10150000
70951,18357,c:56757,p:12659,9/15/10 20:48,10/22/10 3:41,AdKeeper,Dixon,Doll,56757,advertising,operating,USA,NY,New York,New York,43000000
70952,18357,c:56757,p:150,9/15/10 20:48,10/22/10 3:41,AdKeeper,David,Cowan,56757,advertising,operating,USA,NY,New York,New York,43000000
70950,18357,c:56757,p:1937,9/15/10 20:48,10/22/10 3:41,AdKeeper,Jon,Callaghan,56757,advertising,operating,USA,NY,New York,New York,43000000
70954,18357,c:56757,p:302,9/15/10 20:48,10/22/10 3:41,AdKeeper,Scott,Kurnit,56757,advertising,operating,USA,NY,New York,New York,43000000
70953,18357,c:56757,p:60132,9/15/10 20:48,10/22/10 3:41,AdKeeper,Stan,Shuman,56757,advertising,operating,USA,NY,New York,New York,43000000
70955,18358,c:56780,p:69230,9/16/10 1:56,9/23/10 3:15,Deitek Systems,David,Leon,56780,software,operating,COL,0,Medellin,Medellin,250000
70960,18371,c:56858,p:33289,9/16/10 18:18,9/23/10 3:21,UniversityLyfe,Confidential,information,56858,network_hosting,closed,USA,FL,Coconut Creek,Fort Lauderdale,500000
79083,44944,c:56897,p:216869,8/8/13 11:11,8/8/13 11:11,Oxonica,Richard,Farleigh,56897,cleantech,acquired,GBR,0,"Haddenham, Bucks",Haddenham,22455182
78231,39617,c:56905,p:197278,6/10/13 6:59,6/10/13 6:59,TourRadar,Jörg,Trouvain,56905,travel,operating,AUT,0,Vienna,Vienna,0
78232,39617,c:56905,p:243282,6/10/13 6:59,6/10/13 6:59,TourRadar,Christoph,Prinz,56905,travel,operating,AUT,0,Vienna,Vienna,0
78230,39617,c:56905,p:365,6/10/13 6:59,6/10/13 6:59,TourRadar,Erik,Blachford,56905,travel,operating,AUT,0,Vienna,Vienna,0
71821,21838,c:56939,p:85368,3/9/11 6:44,3/15/11 6:36,Celframe,Board,of Directors,56939,software,operating,MYS,0,Kuala Lumpur,Kuala Lumpur,173000000
69106,4966,c:5696,p:27845,1/30/09 1:06,1/30/09 1:06,CoverItLive,Paul,Kedrosky,5696,web,acquired,USA,TX,Austin,Austin,1000000
71014,18468,c:56989,p:10920,9/22/10 18:18,6/20/13 9:52,Qwiki,Bobby,Yazdani,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71013,18468,c:56989,p:169,9/22/10 18:18,6/20/13 9:52,Qwiki,Jawed,Karim,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71498,20812,c:56989,p:169,1/7/11 22:41,6/20/13 9:52,Qwiki,Jawed,Karim,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71012,18468,c:56989,p:1709,9/22/10 18:18,6/20/13 9:52,Qwiki,Keith,Rabois,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71018,18468,c:56989,p:2279,9/22/10 18:18,6/20/13 9:52,Qwiki,Shervin,Pishevar,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71497,20812,c:56989,p:3244,1/7/11 22:41,6/20/13 9:52,Qwiki,Pejman,Nozad,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71015,18468,c:56989,p:38191,9/22/10 18:18,6/20/13 9:52,Qwiki,Elad,Gil,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71500,20812,c:56989,p:44969,1/7/11 22:41,6/20/13 9:52,Qwiki,Raymond,Tonsing,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71016,18468,c:56989,p:540,9/22/10 18:18,6/20/13 9:52,Qwiki,Konstantin,Othmer,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71017,18468,c:56989,p:69366,9/22/10 18:18,6/20/13 9:52,Qwiki,Bruce,Leak,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71496,20812,c:56989,p:69741,1/7/11 22:41,6/20/13 9:52,Qwiki,Eduardo,Saverin,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71019,18468,c:56989,p:69767,9/22/10 18:18,6/20/13 9:52,Qwiki,Mike,Brown Jr,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71499,20812,c:56989,p:87863,1/7/11 22:41,6/20/13 9:52,Qwiki,Pradeep,Sindhu,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71020,18468,c:56989,p:94960,9/22/10 18:18,6/20/13 9:52,Qwiki,Albert,Azout,56989,photo_video,acquired,USA,NY,New York,New York,10500000
71549,20989,c:57002,p:100612,1/18/11 3:59,4/30/13 19:56,MileWise,Jacob,Pechenik,57002,travel,acquired,USA,NY,New York City,New York,1500000
71543,20989,c:57002,p:1235,1/18/11 3:59,4/30/13 19:56,MileWise,David,Cohen,57002,travel,acquired,USA,NY,New York City,New York,1500000
71548,20989,c:57002,p:14608,1/18/11 3:59,4/30/13 19:56,MileWise,Tom,McInerney,57002,travel,acquired,USA,NY,New York City,New York,1500000
71550,20989,c:57002,p:1709,1/18/11 3:59,4/30/13 19:56,MileWise,Keith,Rabois,57002,travel,acquired,USA,NY,New York City,New York,1500000
71545,20989,c:57002,p:450,1/18/11 3:59,4/30/13 19:56,MileWise,Mitch,Kapor,57002,travel,acquired,USA,NY,New York City,New York,1500000
71547,20989,c:57002,p:49318,1/18/11 3:59,4/30/13 19:56,MileWise,Alex,Lloyd,57002,travel,acquired,USA,NY,New York City,New York,1500000
71552,20989,c:57002,p:64875,1/18/11 3:59,4/30/13 19:56,MileWise,David,Tisch,57002,travel,acquired,USA,NY,New York City,New York,1500000
